EventYear,Event,Market,PreAvg_USD,PostAvg_USD,Delta_USD,PreAvg_Share,PostAvg_Share,Delta_Share
2018,US-China trade war begins (Section 301 tariffs),TOTAL (All markets),684654240.9638554,943661135.5932204,259006894.62936497,0.008032128514056224,0.00847457627118644,0.0004424477571302165
2018,US-China trade war begins (Section 301 tariffs),China,23170589500.0,37249699000.0,14079109500.0,0.27053940840731205,0.3335796058889326,0.06304019748162054
2018,US-China trade war begins (Section 301 tariffs),United States,1374603500.0,1561102000.0,186498500.0,0.01619310956964299,0.014109504347996179,-0.002083605221646811
2018,US-China trade war begins (Section 301 tariffs),Hong Kong,23976755500.0,29864451500.0,5887696000.0,0.2824345640629541,0.2680483679375462,-0.014386196125407869
2018,US-China trade war begins (Section 301 tariffs),Singapore,11865225500.0,13245565500.0,1380340000.0,0.13927046356234943,0.11903159600753968,-0.020238867554809747
2018,US-China trade war begins (Section 301 tariffs),Malaysia,4368010000.0,4752645000.0,384635000.0,0.05062696768393806,0.04304261376936125,-0.007584353914576812
2018,US-China trade war begins (Section 301 tariffs),Vietnam,552207500.0,790858000.0,238650500.0,0.006409112764115267,0.007035713461350328,0.0006266006972350602
2018,US-China trade war begins (Section 301 tariffs),Japan,6805347500.0,8726514500.0,1921167000.0,0.08032790687597578,0.07858865268816306,-0.0017392541878127193
2018,US-China trade war begins (Section 301 tariffs),South Korea,6685821000.0,7809822000.0,1124001000.0,0.07885577505774904,0.07007606879075129,-0.008779706266997755
2018,US-China trade war begins (Section 301 tariffs),TOTAL (All markets),684654240.9638554,943661135.5932204,259006894.62936497,0.008032128514056224,0.00847457627118644,0.0004424477571302165
2018,US-China trade war begins (Section 301 tariffs),China,23170589500.0,37249699000.0,14079109500.0,0.27053940840731205,0.3335796058889326,0.06304019748162054
2018,US-China trade war begins (Section 301 tariffs),United States,1374603500.0,1561102000.0,186498500.0,0.01619310956964299,0.014109504347996179,-0.002083605221646811
2018,US-China trade war begins (Section 301 tariffs),Hong Kong,23976755500.0,29864451500.0,5887696000.0,0.2824345640629541,0.2680483679375462,-0.014386196125407869
2018,US-China trade war begins (Section 301 tariffs),Singapore,11865225500.0,13245565500.0,1380340000.0,0.13927046356234943,0.11903159600753968,-0.020238867554809747
2018,US-China trade war begins (Section 301 tariffs),Malaysia,4368010000.0,4752645000.0,384635000.0,0.05062696768393806,0.04304261376936125,-0.007584353914576812
2018,US-China trade war begins (Section 301 tariffs),Vietnam,552207500.0,790858000.0,238650500.0,0.006409112764115267,0.007035713461350328,0.0006266006972350602
2018,US-China trade war begins (Section 301 tariffs),Japan,6805347500.0,8726514500.0,1921167000.0,0.08032790687597578,0.07858865268816306,-0.0017392541878127193
2018,US-China trade war begins (Section 301 tariffs),South Korea,6685821000.0,7809822000.0,1124001000.0,0.07885577505774904,0.07007606879075129,-0.008779706266997755
2018,US-China trade war begins (Section 301 tariffs),TOTAL (All markets),684654240.9638554,943661135.5932204,259006894.62936497,0.008032128514056224,0.00847457627118644,0.0004424477571302165
2018,US-China trade war begins (Section 301 tariffs),China,23170589500.0,37249699000.0,14079109500.0,0.27053940840731205,0.3335796058889326,0.06304019748162054
2018,US-China trade war begins (Section 301 tariffs),United States,1374603500.0,1561102000.0,186498500.0,0.01619310956964299,0.014109504347996179,-0.002083605221646811
2018,US-China trade war begins (Section 301 tariffs),Hong Kong,23976755500.0,29864451500.0,5887696000.0,0.2824345640629541,0.2680483679375462,-0.014386196125407869
2018,US-China trade war begins (Section 301 tariffs),Singapore,11865225500.0,13245565500.0,1380340000.0,0.13927046356234943,0.11903159600753968,-0.020238867554809747
