進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),111年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,1970
出口總值(含復出口),111年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,2
出口總值(含復出口),111年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,639
出口總值(含復出口),111年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),5336450
出口總值(含復出口),111年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),168108
出口總值(含復出口),111年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),11688575
出口總值(含復出口),111年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),1915
出口總值(含復出口),111年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),68210
出口總值(含復出口),111年,85423200902,其他記憶體, Other memories,7839255
出口總值(含復出口),111年,85423300000,放大器, Amplifiers,84365
出口總值(含復出口),111年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,12353532
出口總值(含復出口),111年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,36791540
出口總值(含復出口),111年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,6782221
出口總值(含復出口),111年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,5918817
出口總值(含復出口),111年,85423900228,其他混合積體電路, Other hybrid integrated circuits,75293126
出口總值(含復出口),111年,85423900905,其他積體電路, Other electronic integrated circuits,5247969
出口總值(含復出口),111年,85429010008,積體電路用引線架, Lead frames for integrated circuits,76378
出口總值(含復出口),111年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,41129
出口總值(含復出口),112年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,14117592
出口總值(含復出口),112年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,53
